country,year,sex,age,suicides_no,population,suicides/100k pop, gdp_for_year ($) ,gdp_per_capita ($)
Albania,2005,female,15-24 years,0,281922,0,"8,158,548,717",2931
Albania,2005,female,25-34 years,0,190745,0,"8,158,548,717",2931
Albania,2005,female,35-54 years,0,386513,0,"8,158,548,717",2931
Albania,2005,female,5-14 years,0,276559,0,"8,158,548,717",2931
Albania,2005,female,55-74 years,0,210998,0,"8,158,548,717",2931
Albania,2005,female,75+ years,0,53191,0,"8,158,548,717",2931
Albania,2005,male,15-24 years,0,281675,0,"8,158,548,717",2931
Albania,2005,male,25-34 years,0,177519,0,"8,158,548,717",2931
Albania,2005,male,35-54 years,0,380242,0,"8,158,548,717",2931
Albania,2005,male,5-14 years,0,291367,0,"8,158,548,717",2931
Albania,2005,male,55-74 years,0,214118,0,"8,158,548,717",2931
Albania,2005,male,75+ years,0,38471,0,"8,158,548,717",2931
Albania,2006,female,15-24 years,0,283138,0,"8,992,642,349",3235
Albania,2006,female,25-34 years,0,186391,0,"8,992,642,349",3235
Albania,2006,female,35-54 years,0,388746,0,"8,992,642,349",3235
Albania,2006,female,5-14 years,0,267316,0,"8,992,642,349",3235
Albania,2006,female,55-74 years,0,215907,0,"8,992,642,349",3235
Albania,2006,female,75+ years,0,56011,0,"8,992,642,349",3235
Albania,2006,male,15-24 years,0,286679,0,"8,992,642,349",3235
Albania,2006,male,25-34 years,0,174092,0,"8,992,642,349",3235
Albania,2006,male,35-54 years,0,379076,0,"8,992,642,349",3235
Albania,2006,male,5-14 years,0,282678,0,"8,992,642,349",3235
Albania,2006,male,55-74 years,0,219360,0,"8,992,642,349",3235
Albania,2006,male,75+ years,0,40782,0,"8,992,642,349",3235
Albania,2007,male,75+ years,8,42366,18.88,"10,701,011,897",3863
Albania,2007,male,35-54 years,29,378626,7.66,"10,701,011,897",3863
Albania,2007,male,55-74 years,14,224160,6.25,"10,701,011,897",3863
Albania,2007,female,75+ years,3,57404,5.23,"10,701,011,897",3863
Albania,2007,male,25-34 years,9,172494,5.22,"10,701,011,897",3863
Albania,2007,female,15-24 years,13,281080,4.63,"10,701,011,897",3863
Albania,2007,male,15-24 years,13,288349,4.51,"10,701,011,897",3863
Albania,2007,female,25-34 years,8,183629,4.36,"10,701,011,897",3863
Albania,2007,female,55-74 years,9,221120,4.07,"10,701,011,897",3863
Albania,2007,female,35-54 years,14,391811,3.57,"10,701,011,897",3863
Albania,2007,male,5-14 years,4,272497,1.47,"10,701,011,897",3863
Albania,2007,female,5-14 years,0,256808,0,"10,701,011,897",3863
Albania,2008,male,25-34 years,21,172855,12.15,"12,881,352,688",4672
Albania,2008,male,35-54 years,37,377119,9.81,"12,881,352,688",4672
Albania,2008,male,55-74 years,21,228672,9.18,"12,881,352,688",4672
Albania,2008,female,75+ years,5,59369,8.42,"12,881,352,688",4672
Albania,2008,female,15-24 years,20,276073,7.24,"12,881,352,688",4672
Albania,2008,female,25-34 years,9,182663,4.93,"12,881,352,688",4672
Albania,2008,female,35-54 years,19,393832,4.82,"12,881,352,688",4672
Albania,2008,male,75+ years,2,44574,4.49,"12,881,352,688",4672
Albania,2008,male,15-24 years,11,286702,3.84,"12,881,352,688",4672
Albania,2008,female,55-74 years,7,226448,3.09,"12,881,352,688",4672
Albania,2008,male,5-14 years,7,262464,2.67,"12,881,352,688",4672
Albania,2008,female,5-14 years,1,246288,0.41,"12,881,352,688",4672
Albania,2009,female,15-24 years,0,270003,0,"12,044,212,904",4387
Albania,2009,female,25-34 years,0,182712,0,"12,044,212,904",4387
Albania,2009,female,35-54 years,0,394286,0,"12,044,212,904",4387
Albania,2009,female,5-14 years,0,236174,0,"12,044,212,904",4387
Albania,2009,female,55-74 years,0,233302,0,"12,044,212,904",4387
Albania,2009,female,75+ years,0,61582,0,"12,044,212,904",4387
Albania,2009,male,15-24 years,0,283448,0,"12,044,212,904",4387
Albania,2009,male,25-34 years,0,174955,0,"12,044,212,904",4387
Albania,2009,male,35-54 years,0,374365,0,"12,044,212,904",4387
Albania,2009,male,5-14 years,0,253007,0,"12,044,212,904",4387
Albania,2009,male,55-74 years,0,234570,0,"12,044,212,904",4387
Albania,2009,male,75+ years,0,47331,0,"12,044,212,904",4387
Albania,2010,male,55-74 years,20,241852,8.27,"11,926,953,259",4359
Albania,2010,male,35-54 years,20,371611,5.38,"11,926,953,259",4359
Albania,2010,male,25-34 years,9,179720,5.01,"11,926,953,259",4359
Albania,2010,male,75+ years,2,50767,3.94,"11,926,953,259",4359
Albania,2010,male,15-24 years,10,279508,3.58,"11,926,953,259",4359
Albania,2010,female,25-34 years,6,183579,3.27,"11,926,953,259",4359
Albania,2010,female,75+ years,2,64415,3.1,"11,926,953,259",4359
Albania,2010,female,35-54 years,12,394593,3.04,"11,926,953,259",4359
Albania,2010,female,55-74 years,7,241491,2.9,"11,926,953,259",4359
Albania,2010,female,15-24 years,6,263581,2.28,"11,926,953,259",4359
Albania,2010,female,5-14 years,2,223969,0.89,"11,926,953,259",4359
Albania,2010,male,5-14 years,0,240939,0,"11,926,953,259",4359
Antigua and Barbuda,2005,female,15-24 years,0,7780,0,"1,022,191,296",12649
Antigua and Barbuda,2005,female,25-34 years,0,7327,0,"1,022,191,296",12649
Antigua and Barbuda,2005,female,35-54 years,0,12835,0,"1,022,191,296",12649
Antigua and Barbuda,2005,female,5-14 years,0,8584,0,"1,022,191,296",12649
Antigua and Barbuda,2005,female,55-74 years,0,4157,0,"1,022,191,296",12649
Antigua and Barbuda,2005,female,75+ years,0,1575,0,"1,022,191,296",12649
Antigua and Barbuda,2005,male,15-24 years,0,7113,0,"1,022,191,296",12649
Antigua and Barbuda,2005,male,25-34 years,0,6444,0,"1,022,191,296",12649
Antigua and Barbuda,2005,male,35-54 years,0,11778,0,"1,022,191,296",12649
Antigua and Barbuda,2005,male,5-14 years,0,8358,0,"1,022,191,296",12649
Antigua and Barbuda,2005,male,55-74 years,0,3748,0,"1,022,191,296",12649
Antigua and Barbuda,2005,male,75+ years,0,1110,0,"1,022,191,296",12649
Antigua and Barbuda,2006,female,15-24 years,0,7902,0,"1,157,005,444",14114
Antigua and Barbuda,2006,female,25-34 years,0,7098,0,"1,157,005,444",14114
Antigua and Barbuda,2006,female,35-54 years,0,13374,0,"1,157,005,444",14114
Antigua and Barbuda,2006,female,5-14 years,0,8571,0,"1,157,005,444",14114
Antigua and Barbuda,2006,female,55-74 years,0,4256,0,"1,157,005,444",14114
Antigua and Barbuda,2006,female,75+ years,0,1573,0,"1,157,005,444",14114
Antigua and Barbuda,2006,male,15-24 years,0,7239,0,"1,157,005,444",14114
Antigua and Barbuda,2006,male,25-34 years,0,6319,0,"1,157,005,444",14114
Antigua and Barbuda,2006,male,35-54 years,0,12202,0,"1,157,005,444",14114
Antigua and Barbuda,2006,male,5-14 years,0,8485,0,"1,157,005,444",14114
Antigua and Barbuda,2006,male,55-74 years,0,3847,0,"1,157,005,444",14114
Antigua and Barbuda,2006,male,75+ years,0,1107,0,"1,157,005,444",14114
Antigua and Barbuda,2007,male,35-54 years,1,12530,7.98,"1,311,401,333",15775
Antigua and Barbuda,2007,female,15-24 years,0,8013,0,"1,311,401,333",15775
Antigua and Barbuda,2007,female,25-34 years,0,6962,0,"1,311,401,333",15775
Antigua and Barbuda,2007,female,35-54 years,0,13860,0,"1,311,401,333",15775
Antigua and Barbuda,2007,female,5-14 years,0,8555,0,"1,311,401,333",15775
Antigua and Barbuda,2007,female,55-74 years,0,4400,0,"1,311,401,333",15775
Antigua and Barbuda,2007,female,75+ years,0,1568,0,"1,311,401,333",15775
Antigua and Barbuda,2007,male,15-24 years,0,7330,0,"1,311,401,333",15775
Antigua and Barbuda,2007,male,25-34 years,0,6267,0,"1,311,401,333",15775
Antigua and Barbuda,2007,male,5-14 years,0,8564,0,"1,311,401,333",15775
Antigua and Barbuda,2007,male,55-74 years,0,3988,0,"1,311,401,333",15775
